name,split,netTime
Jonas Hoffmann,BIKE10,03:36:18.452
Jason West,BIKE10,03:36:20.026
Dylan Magnien,BIKE10,03:36:21.64
Mattia Ceccarelli,BIKE10,03:36:26.355
Leon Chevalier,BIKE10,03:36:52.046
Ben Hill,BIKE10,03:36:53.522
Sam Long,BIKE10,03:36:54.265
Harry Palmer,BIKE10,03:38:16.448
Henrik Goesch,BIKE10,03:38:18.222
Finn Große-Freese,BIKE10,03:38:20.132
Joe Skipper,BIKE10,03:38:22.366
Andrea Salvisberg,BIKE10,03:38:24.48
Filipe Azevedo,BIKE10,03:39:43.253
Patrick Lange,BIKE10,03:39:45.038
Jordi Montraveta Moya,BIKE10,03:39:45.937
Fernando Toldi,BIKE10,03:39:47.058
Benjamin Zorgnotti,BIKE10,03:39:49.878
Bradley Weiss,BIKE10,03:40:36.433
Dominik Sowieja,BIKE10,03:41:29.261
Jon Saeveras Breivold,BIKE10,03:42:04.71
Kristian Grue,BIKE10,03:42:07.831
Andre Lopes,BIKE10,03:42:10.366
Daniel Bækkegård,BIKE10,03:43:19.815
Dario Giovine,BIKE10,03:45:51.87
Chris Leiferman,BIKE10,03:45:53.464
Bart Aernouts,BIKE10,03:50:42.772
Jack Moody,BIKE10,03:52:30.054
Matt Hanson,BIKE10,03:52:45.808
Marten Van Riel,BIKE11,03:32:27.379
Jamie Riddle,BIKE11,03:32:29.379
Jonas Schomburg,BIKE11,03:32:30.379
Sam Laidlow,BIKE11,03:34:20.379
Kristian Blummenfelt,BIKE11,03:34:23.379
Gustav Iden,BIKE11,03:34:33.379
Casper Stornes,BIKE11,03:34:37.379
Nick Thompson,BIKE11,03:34:38.379
Magnus Ditlev,BIKE11,03:34:55.379
Antonio Benito,BIKE11,03:38:02.379
Rudy Von Berg,BIKE11,03:38:03.379
Jan Stratmann,BIKE11,03:40:45.379
Nathan Guerbeur,BIKE11,03:40:47.379
Sven Thalmann,BIKE11,03:40:49.379
Paul Schuster,BIKE11,03:40:50.379
Federico Scarabino,BIKE11,03:40:55.379
Kristian Høgenhaug,BIKE11,03:40:58.379
Matthew Marquardt,BIKE11,03:41:26.379
Cameron Wurf,BIKE11,03:42:27.379
Mathias Lyngsø Petersen,BIKE11,03:43:05.379
Luciano Taccone,BIKE11,03:43:06.379
Wilhelm Hirsch,BIKE11,03:43:14.379
Jonas Hoffmann,BIKE11,03:44:11.379
Jason West,BIKE11,03:44:14.379
Dylan Magnien,BIKE11,03:44:16.379
Kacper Stepniak,BIKE11,03:44:20.379
Ben Hill,BIKE11,03:44:27.379
Sam Long,BIKE11,03:44:28.379
Leon Chevalier,BIKE11,03:44:34.379
Mattia Ceccarelli,BIKE11,03:44:34.379
Joe Skipper,BIKE11,03:45:55.379
Harry Palmer,BIKE11,03:45:57.379
Henrik Goesch,BIKE11,03:45:59.379
Finn Große-Freese,BIKE11,03:46:00.379
Andrea Salvisberg,BIKE11,03:46:39.379
Patrick Lange,BIKE11,03:47:41.379
Jordi Montraveta Moya,BIKE11,03:47:42.379
Fernando Toldi,BIKE11,03:47:43.379
Filipe Azevedo,BIKE11,03:47:44.379
Benjamin Zorgnotti,BIKE11,03:47:44.379
Dominik Sowieja,BIKE11,03:49:16.379
Bradley Weiss,BIKE11,03:49:36.379
Jon Saeveras Breivold,BIKE11,03:49:52.379
Kristian Grue,BIKE11,03:49:55.379
Andre Lopes,BIKE11,03:50:24.379
Daniel Bækkegård,BIKE11,03:51:19.379
Chris Leiferman,BIKE11,03:53:40.379
Dario Giovine,BIKE11,03:53:41.379
Bart Aernouts,BIKE11,03:58:56.379
Matt Hanson,BIKE11,04:00:43.379
Jack Moody,BIKE11,04:00:43.379
Zachary Cooper,BIKE11,04:15:14.379
Marten Van Riel,BIKE12,03:45:31.379
Jamie Riddle,BIKE12,03:45:31.379
Jonas Schomburg,BIKE12,03:45:34.379
Sam Laidlow,BIKE12,03:46:45.379
Kristian Blummenfelt,BIKE12,03:46:48.379
Nick Thompson,BIKE12,03:47:19.379
Gustav Iden,BIKE12,03:47:20.379
Casper Stornes,BIKE12,03:47:22.379
Magnus Ditlev,BIKE12,03:48:02.379
Rudy Von Berg,BIKE12,03:51:25.379
Antonio Benito,BIKE12,03:51:27.379
Matthew Marquardt,BIKE12,03:54:07.379
Kristian Høgenhaug,BIKE12,03:54:21.379
Jan Stratmann,BIKE12,03:54:22.379
Paul Schuster,BIKE12,03:54:25.379
Federico Scarabino,BIKE12,03:54:27.379
Nathan Guerbeur,BIKE12,03:54:30.379
Sven Thalmann,BIKE12,03:54:42.379
Cameron Wurf,BIKE12,03:56:05.379
Luciano Taccone,BIKE12,03:57:01.379
Mathias Lyngsø Petersen,BIKE12,03:57:03.379
Wilhelm Hirsch,BIKE12,03:57:04.379
Sam Long,BIKE12,03:57:34.379
Kacper Stepniak,BIKE12,03:57:37.379
Leon Chevalier,BIKE12,03:57:40.379
Jonas Hoffmann,BIKE12,03:57:56.379
Dylan Magnien,BIKE12,03:58:16.379
Jason West,BIKE12,03:58:17.379
Ben Hill,BIKE12,03:58:19.379
Harry Palmer,BIKE12,03:59:21.379
Henrik Goesch,BIKE12,03:59:22.379
Finn Große-Freese,BIKE12,03:59:23.379
Joe Skipper,BIKE12,03:59:36.379
Mattia Ceccarelli,BIKE12,03:59:59.379
Patrick Lange,BIKE12,04:01:33.379
Jordi Montraveta Moya,BIKE12,04:01:35.379
Fernando Toldi,BIKE12,04:01:36.379
Benjamin Zorgnotti,BIKE12,04:01:37.379
Filipe Azevedo,BIKE12,04:01:39.379
Andrea Salvisberg,BIKE12,04:01:52.379
Jon Saeveras Breivold,BIKE12,04:03:08.379
Dominik Sowieja,BIKE12,04:03:09.379
Kristian Grue,BIKE12,04:03:12.379
Andre Lopes,BIKE12,04:05:26.379
Daniel Bækkegård,BIKE12,04:05:48.379
Dario Giovine,BIKE12,04:07:54.379
Chris Leiferman,BIKE12,04:07:57.379
Bart Aernouts,BIKE12,04:13:08.379
Bradley Weiss,BIKE12,04:14:15.379
Matt Hanson,BIKE12,04:14:32.379
Jack Moody,BIKE12,04:15:32.379
Zachary Cooper,BIKE12,09:01:28.379
Marten Van Riel,BIKE13,03:55:56.379
Jamie Riddle,BIKE13,03:56:22.379
Jonas Schomburg,BIKE13,03:56:33.379
Sam Laidlow,BIKE13,03:56:58.379
Kristian Blummenfelt,BIKE13,03:57:04.379
Gustav Iden,BIKE13,03:57:39.379
Nick Thompson,BIKE13,03:57:40.379
Casper Stornes,BIKE13,03:57:49.379
Magnus Ditlev,BIKE13,03:58:31.379
Rudy Von Berg,BIKE13,04:02:03.379
Antonio Benito,BIKE13,04:02:27.379
Matthew Marquardt,BIKE13,04:04:27.379
Jan Stratmann,BIKE13,04:05:07.379
Kristian Høgenhaug,BIKE13,04:05:10.379
Federico Scarabino,BIKE13,04:05:11.379
Nathan Guerbeur,BIKE13,04:05:13.379
Paul Schuster,BIKE13,04:05:13.379
Sven Thalmann,BIKE13,04:06:43.379
Cameron Wurf,BIKE13,04:06:53.379
Wilhelm Hirsch,BIKE13,04:08:12.379
Luciano Taccone,BIKE13,04:08:13.379
Mathias Lyngsø Petersen,BIKE13,04:08:16.379
Sam Long,BIKE13,04:08:17.379
Leon Chevalier,BIKE13,04:08:32.379
Kacper Stepniak,BIKE13,04:08:37.379
Jonas Hoffmann,BIKE13,04:09:01.379
Dylan Magnien,BIKE13,04:09:17.379
Jason West,BIKE13,04:09:46.379
Finn Große-Freese,BIKE13,04:10:08.379
Harry Palmer,BIKE13,04:10:08.379
Henrik Goesch,BIKE13,04:10:11.379
Joe Skipper,BIKE13,04:10:34.379
Mattia Ceccarelli,BIKE13,04:12:07.379
Patrick Lange,BIKE13,04:12:23.379
Jordi Montraveta Moya,BIKE13,04:12:26.379
Fernando Toldi,BIKE13,04:12:27.379
Benjamin Zorgnotti,BIKE13,04:12:38.379
Filipe Azevedo,BIKE13,04:12:43.379
Andrea Salvisberg,BIKE13,04:13:41.379
Jon Saeveras Breivold,BIKE13,04:13:51.379
Dominik Sowieja,BIKE13,04:13:53.379
Kristian Grue,BIKE13,04:14:05.379
Andre Lopes,BIKE13,04:17:02.379
Daniel Bækkegård,BIKE13,04:17:04.379
Chris Leiferman,BIKE13,04:19:09.379
Dario Giovine,BIKE13,04:19:13.379
Bart Aernouts,BIKE13,04:24:45.379
Matt Hanson,BIKE13,04:26:42.379
Jack Moody,BIKE13,04:27:11.379
Bradley Weiss,BIKE13,04:29:31.379
Ben Hill,BIKE13,05:19:08.379
Zachary Cooper,BIKE13,09:25:26.379
Marten Van Riel,BIKE14,04:14:29.379
Sam Laidlow,BIKE14,04:14:55.379
Kristian Blummenfelt,BIKE14,04:14:59.379
Jamie Riddle,BIKE14,04:16:11.379
Gustav Iden,BIKE14,04:16:17.379
Casper Stornes,BIKE14,04:16:18.379
Nick Thompson,BIKE14,04:16:20.379
Jonas Schomburg,BIKE14,04:16:40.379
Magnus Ditlev,BIKE14,04:17:42.379
Rudy Von Berg,BIKE14,04:22:17.379
Antonio Benito,BIKE14,04:22:19.379
Matthew Marquardt,BIKE14,04:22:29.379
Kristian Høgenhaug,BIKE14,04:24:36.379
Federico Scarabino,BIKE14,04:24:37.379
Nathan Guerbeur,BIKE14,04:24:44.379
Jan Stratmann,BIKE14,04:25:21.379
Paul Schuster,BIKE14,04:25:23.379
Cameron Wurf,BIKE14,04:26:49.379
Sam Long,BIKE14,04:27:36.379
Leon Chevalier,BIKE14,04:27:37.379
Luciano Taccone,BIKE14,04:27:40.379
Sven Thalmann,BIKE14,04:27:42.379
Mathias Lyngsø Petersen,BIKE14,04:28:42.379
Wilhelm Hirsch,BIKE14,04:28:44.379
Kacper Stepniak,BIKE14,04:28:57.379
Dylan Magnien,BIKE14,04:29:27.379
Jonas Hoffmann,BIKE14,04:29:29.379
Finn Große-Freese,BIKE14,04:30:07.379
Harry Palmer,BIKE14,04:30:27.379
Henrik Goesch,BIKE14,04:30:29.379
Jason West,BIKE14,04:31:10.379
Jordi Montraveta Moya,BIKE14,04:31:50.379
Joe Skipper,BIKE14,04:31:57.379
Patrick Lange,BIKE14,04:32:18.379
Filipe Azevedo,BIKE14,04:32:19.379
Fernando Toldi,BIKE14,04:32:28.379
Jon Saeveras Breivold,BIKE14,04:32:42.379
Kristian Grue,BIKE14,04:33:04.379
Dominik Sowieja,BIKE14,04:33:38.379
Benjamin Zorgnotti,BIKE14,04:35:08.379
Andrea Salvisberg,BIKE14,04:37:24.379
Mattia Ceccarelli,BIKE14,04:38:16.379
Andre Lopes,BIKE14,04:39:16.379
Chris Leiferman,BIKE14,04:39:35.379
Dario Giovine,BIKE14,04:39:36.379
Daniel Bækkegård,BIKE14,04:39:51.379
Bart Aernouts,BIKE14,04:44:46.379
Matt Hanson,BIKE14,04:47:33.379
Jack Moody,BIKE14,04:47:57.379
Zachary Cooper,BIKE14,09:52:12.379
Marten Van Riel,BIKE15,04:24:22.379
Sam Laidlow,BIKE15,04:24:49.379
Kristian Blummenfelt,BIKE15,04:24:51.379
Gustav Iden,BIKE15,04:26:03.379
Nick Thompson,BIKE15,04:26:04.379
Casper Stornes,BIKE15,04:26:07.379
Jamie Riddle,BIKE15,04:26:36.379
Jonas Schomburg,BIKE15,04:27:23.379
Magnus Ditlev,BIKE15,04:27:56.379
Matthew Marquardt,BIKE15,04:32:08.379
Rudy Von Berg,BIKE15,04:32:58.379
Antonio Benito,BIKE15,04:33:02.379
Federico Scarabino,BIKE15,04:34:59.379
Kristian Høgenhaug,BIKE15,04:35:00.379
Nathan Guerbeur,BIKE15,04:35:03.379
Jan Stratmann,BIKE15,04:36:01.379
Paul Schuster,BIKE15,04:36:06.379
Cameron Wurf,BIKE15,04:37:15.379
Luciano Taccone,BIKE15,04:38:06.379
Sam Long,BIKE15,04:38:08.379
Sven Thalmann,BIKE15,04:38:09.379
Leon Chevalier,BIKE15,04:38:10.379
Wilhelm Hirsch,BIKE15,04:39:02.379
Mathias Lyngsø Petersen,BIKE15,04:39:13.379
Kacper Stepniak,BIKE15,04:39:40.379
Dylan Magnien,BIKE15,04:40:03.379
Jonas Hoffmann,BIKE15,04:40:07.379
Finn Große-Freese,BIKE15,04:40:24.379
Harry Palmer,BIKE15,04:41:01.379
Henrik Goesch,BIKE15,04:41:02.379
Jordi Montraveta Moya,BIKE15,04:42:02.379
Patrick Lange,BIKE15,04:42:25.379
Filipe Azevedo,BIKE15,04:42:30.379
Jason West,BIKE15,04:42:31.379
Jon Saeveras Breivold,BIKE15,04:42:33.379
Joe Skipper,BIKE15,04:42:39.379
Fernando Toldi,BIKE15,04:42:42.379
Kristian Grue,BIKE15,04:43:19.379
Dominik Sowieja,BIKE15,04:44:12.379
Benjamin Zorgnotti,BIKE15,04:46:02.379
Andrea Salvisberg,BIKE15,04:49:40.379
Chris Leiferman,BIKE15,04:50:07.379
Dario Giovine,BIKE15,04:50:08.379
Andre Lopes,BIKE15,04:50:12.379
Mattia Ceccarelli,BIKE15,04:50:48.379
Daniel Bækkegård,BIKE15,04:51:10.379
Bart Aernouts,BIKE15,04:55:17.379
Matt Hanson,BIKE15,04:58:38.379
Jack Moody,BIKE15,04:58:44.379
Zachary Cooper,BIKE15,10:13:13.379
Marten Van Riel,BIKE16,04:31:57.379
Sam Laidlow,BIKE16,04:32:15.379
Kristian Blummenfelt,BIKE16,04:32:19.379
Nick Thompson,BIKE16,04:33:16.379
Gustav Iden,BIKE16,04:33:16.379
Casper Stornes,BIKE16,04:33:30.379
Jamie Riddle,BIKE16,04:34:46.379
Magnus Ditlev,BIKE16,04:35:32.379
Jonas Schomburg,BIKE16,04:35:38.379
Matthew Marquardt,BIKE16,04:39:37.379
Rudy Von Berg,BIKE16,04:40:38.379
Antonio Benito,BIKE16,04:41:06.379
Nathan Guerbeur,BIKE16,04:42:38.379
Kristian Høgenhaug,BIKE16,04:42:42.379
Federico Scarabino,BIKE16,04:42:43.379
Jan Stratmann,BIKE16,04:43:53.379
Paul Schuster,BIKE16,04:43:58.379
Cameron Wurf,BIKE16,04:44:49.379
Luciano Taccone,BIKE16,04:46:03.379
Sam Long,BIKE16,04:46:04.379
Leon Chevalier,BIKE16,04:46:05.379
Sven Thalmann,BIKE16,04:46:32.379
Wilhelm Hirsch,BIKE16,04:47:09.379
Mathias Lyngsø Petersen,BIKE16,04:47:19.379
Kacper Stepniak,BIKE16,04:47:54.379
Dylan Magnien,BIKE16,04:48:12.379
Jonas Hoffmann,BIKE16,04:48:13.379
Finn Große-Freese,BIKE16,04:48:26.379
Henrik Goesch,BIKE16,04:48:58.379
Harry Palmer,BIKE16,04:49:01.379
Jordi Montraveta Moya,BIKE16,04:49:42.379
Patrick Lange,BIKE16,04:50:14.379
Filipe Azevedo,BIKE16,04:50:15.379
Jon Saeveras Breivold,BIKE16,04:50:17.379
Fernando Toldi,BIKE16,04:50:19.379
Joe Skipper,BIKE16,04:50:19.379
Jason West,BIKE16,04:51:16.379
Kristian Grue,BIKE16,04:51:26.379
Dominik Sowieja,BIKE16,04:51:52.379
Benjamin Zorgnotti,BIKE16,04:54:12.379
Chris Leiferman,BIKE16,04:58:10.379
Andre Lopes,BIKE16,04:58:11.379
Andrea Salvisberg,BIKE16,04:58:12.379
Dario Giovine,BIKE16,04:58:14.379
Daniel Bækkegård,BIKE16,04:59:41.379
Mattia Ceccarelli,BIKE16,04:59:54.379
Bart Aernouts,BIKE16,05:03:17.379
Jack Moody,BIKE16,05:06:45.379
Matt Hanson,BIKE16,05:07:39.379
Zachary Cooper,BIKE16,10:38:23.379
Marten Van Riel,BIKE17,04:42:41.379
Sam Laidlow,BIKE17,04:42:46.379
Kristian Blummenfelt,BIKE17,04:42:50.379
Gustav Iden,BIKE17,04:43:41.379
Nick Thompson,BIKE17,04:43:44.379
Casper Stornes,BIKE17,04:43:53.379
Magnus Ditlev,BIKE17,04:46:41.379
Jamie Riddle,BIKE17,04:46:43.379
Jonas Schomburg,BIKE17,04:47:07.379
Matthew Marquardt,BIKE17,04:50:22.379
Rudy Von Berg,BIKE17,04:52:19.379
Antonio Benito,BIKE17,04:52:34.379
Nathan Guerbeur,BIKE17,04:53:18.379
Kristian Høgenhaug,BIKE17,04:53:43.379
Federico Scarabino,BIKE17,04:53:45.379
Jan Stratmann,BIKE17,04:55:24.379
Paul Schuster,BIKE17,04:55:28.379
Cameron Wurf,BIKE17,04:55:49.379
Leon Chevalier,BIKE17,04:57:22.379
Luciano Taccone,BIKE17,04:57:28.379
Sam Long,BIKE17,04:57:48.379
Wilhelm Hirsch,BIKE17,04:58:28.379
Sven Thalmann,BIKE17,04:58:42.379
Mathias Lyngsø Petersen,BIKE17,04:58:50.379
Jonas Hoffmann,BIKE17,04:59:34.379
Finn Große-Freese,BIKE17,04:59:36.379
Dylan Magnien,BIKE17,04:59:37.379
Kacper Stepniak,BIKE17,04:59:39.379
Henrik Goesch,BIKE17,05:00:19.379
Harry Palmer,BIKE17,05:00:23.379
Jordi Montraveta Moya,BIKE17,05:00:57.379
Jon Saeveras Breivold,BIKE17,05:01:18.379
Patrick Lange,BIKE17,05:01:34.379
Fernando Toldi,BIKE17,05:01:35.379
Joe Skipper,BIKE17,05:01:38.379
Filipe Azevedo,BIKE17,05:01:42.379
Dominik Sowieja,BIKE17,05:03:07.379
Kristian Grue,BIKE17,05:03:08.379
Benjamin Zorgnotti,BIKE17,05:05:59.379
Chris Leiferman,BIKE17,05:09:44.379
Dario Giovine,BIKE17,05:09:49.379
Andre Lopes,BIKE17,05:09:50.379
Andrea Salvisberg,BIKE17,05:11:05.379
Daniel Bækkegård,BIKE17,05:11:58.379
Mattia Ceccarelli,BIKE17,05:12:56.379
Bart Aernouts,BIKE17,05:14:50.379
Jack Moody,BIKE17,05:18:48.379
Matt Hanson,BIKE17,05:20:01.379
Jason West,BIKE17,05:58:28.379
Zachary Cooper,BIKE17,10:56:13.379
Marten Van Riel,BIKE18,04:52:42.379
Sam Laidlow,BIKE18,04:52:42.379
Kristian Blummenfelt,BIKE18,04:52:47.379
Gustav Iden,BIKE18,04:53:29.379
Nick Thompson,BIKE18,04:53:31.379
Casper Stornes,BIKE18,04:53:43.379
Magnus Ditlev,BIKE18,04:57:17.379
Jamie Riddle,BIKE18,04:57:20.379
Jonas Schomburg,BIKE18,04:58:30.379
Matthew Marquardt,BIKE18,05:00:33.379
Rudy Von Berg,BIKE18,05:02:35.379
Antonio Benito,BIKE18,05:03:24.379
Nathan Guerbeur,BIKE18,05:03:36.379
Kristian Høgenhaug,BIKE18,05:04:16.379
Federico Scarabino,BIKE18,05:04:17.379
Cameron Wurf,BIKE18,05:06:00.379
Jan Stratmann,BIKE18,05:06:04.379
Paul Schuster,BIKE18,05:06:15.379
Leon Chevalier,BIKE18,05:08:07.379
Luciano Taccone,BIKE18,05:08:08.379
Sam Long,BIKE18,05:08:10.379
Wilhelm Hirsch,BIKE18,05:09:12.379
Mathias Lyngsø Petersen,BIKE18,05:09:39.379
Sven Thalmann,BIKE18,05:09:39.379
Jonas Hoffmann,BIKE18,05:10:13.379
Finn Große-Freese,BIKE18,05:10:14.379
Dylan Magnien,BIKE18,05:10:17.379
Kacper Stepniak,BIKE18,05:10:23.379
Henrik Goesch,BIKE18,05:10:51.379
Harry Palmer,BIKE18,05:10:59.379
Jordi Montraveta Moya,BIKE18,05:11:15.379
Jon Saeveras Breivold,BIKE18,05:11:43.379
Patrick Lange,BIKE18,05:12:18.379
Fernando Toldi,BIKE18,05:12:20.379
Joe Skipper,BIKE18,05:12:20.379
Filipe Azevedo,BIKE18,05:12:23.379
Dominik Sowieja,BIKE18,05:13:44.379
Kristian Grue,BIKE18,05:14:01.379
Benjamin Zorgnotti,BIKE18,05:16:55.379
Chris Leiferman,BIKE18,05:20:29.379
Andre Lopes,BIKE18,05:20:41.379
Dario Giovine,BIKE18,05:20:43.379
Andrea Salvisberg,BIKE18,05:22:48.379
Daniel Bækkegård,BIKE18,05:23:16.379
Mattia Ceccarelli,BIKE18,05:25:04.379
Bart Aernouts,BIKE18,05:25:25.379
Jack Moody,BIKE18,05:30:10.379
Matt Hanson,BIKE18,05:32:18.379
Zachary Cooper,BIKE18,11:17:58.379
Marten Van Riel,BIKE19,05:01:29.379
Sam Laidlow,BIKE19,05:01:32.379
Kristian Blummenfelt,BIKE19,05:01:36.379
Nick Thompson,BIKE19,05:02:08.379
Gustav Iden,BIKE19,05:02:09.379
Casper Stornes,BIKE19,05:02:15.379
Jamie Riddle,BIKE19,05:06:23.379
Magnus Ditlev,BIKE19,05:06:24.379
Jonas Schomburg,BIKE19,05:08:23.379
Matthew Marquardt,BIKE19,05:09:29.379
Rudy Von Berg,BIKE19,05:12:01.379
Antonio Benito,BIKE19,05:13:00.379
Nathan Guerbeur,BIKE19,05:13:01.379
Kristian Høgenhaug,BIKE19,05:13:34.379
Federico Scarabino,BIKE19,05:13:36.379
Jan Stratmann,BIKE19,05:15:08.379
Cameron Wurf,BIKE19,05:15:09.379
Paul Schuster,BIKE19,05:16:12.379
Leon Chevalier,BIKE19,05:17:30.379
Sam Long,BIKE19,05:17:30.379
Luciano Taccone,BIKE19,05:17:34.379
Wilhelm Hirsch,BIKE19,05:18:48.379
Sven Thalmann,BIKE19,05:19:10.379
Mathias Lyngsø Petersen,BIKE19,05:19:13.379
Finn Große-Freese,BIKE19,05:19:21.379
Jonas Hoffmann,BIKE19,05:19:37.379
Dylan Magnien,BIKE19,05:19:38.379
Kacper Stepniak,BIKE19,05:19:43.379
Jordi Montraveta Moya,BIKE19,05:20:18.379
Henrik Goesch,BIKE19,05:20:19.379
Harry Palmer,BIKE19,05:20:21.379
Jon Saeveras Breivold,BIKE19,05:20:49.379
Patrick Lange,BIKE19,05:21:37.379
Joe Skipper,BIKE19,05:21:43.379
Fernando Toldi,BIKE19,05:21:44.379
Filipe Azevedo,BIKE19,05:21:45.379
Dominik Sowieja,BIKE19,05:23:15.379
Kristian Grue,BIKE19,05:23:35.379
Benjamin Zorgnotti,BIKE19,05:26:28.379
Chris Leiferman,BIKE19,05:29:52.379
Dario Giovine,BIKE19,05:30:21.379
Andre Lopes,BIKE19,05:30:23.379
Andrea Salvisberg,BIKE19,05:32:58.379
Daniel Bækkegård,BIKE19,05:33:02.379
Bart Aernouts,BIKE19,05:34:50.379
Mattia Ceccarelli,BIKE19,05:35:39.379
Jack Moody,BIKE19,05:40:02.379
Matt Hanson,BIKE19,05:42:33.379
Zachary Cooper,BIKE19,11:30:05.379
Marten Van Riel,BIKE20,05:04:25.379
Sam Laidlow,BIKE20,05:04:31.379
Kristian Blummenfelt,BIKE20,05:04:39.379
Nick Thompson,BIKE20,05:04:58.379
Gustav Iden,BIKE20,05:04:59.379
Casper Stornes,BIKE20,05:05:00.379
Magnus Ditlev,BIKE20,05:09:27.379
Jamie Riddle,BIKE20,05:09:27.379
Jonas Schomburg,BIKE20,05:11:37.379
Matthew Marquardt,BIKE20,05:13:29.379
Rudy Von Berg,BIKE20,05:15:07.379
Antonio Benito,BIKE20,05:16:01.379
Nathan Guerbeur,BIKE20,05:16:10.379
Kristian Høgenhaug,BIKE20,05:16:31.379
Federico Scarabino,BIKE20,05:16:32.379
Cameron Wurf,BIKE20,05:18:02.379
Jan Stratmann,BIKE20,05:18:04.379
Paul Schuster,BIKE20,05:19:16.379
Leon Chevalier,BIKE20,05:20:30.379
Sam Long,BIKE20,05:20:31.379
Luciano Taccone,BIKE20,05:20:33.379
Wilhelm Hirsch,BIKE20,05:21:52.379
Sven Thalmann,BIKE20,05:22:14.379
Mathias Lyngsø Petersen,BIKE20,05:22:16.379
Finn Große-Freese,BIKE20,05:22:18.379
Jonas Hoffmann,BIKE20,05:22:37.379
Dylan Magnien,BIKE20,05:22:37.379
Kacper Stepniak,BIKE20,05:22:39.379
Henrik Goesch,BIKE20,05:23:19.379
Jordi Montraveta Moya,BIKE20,05:23:20.379
Harry Palmer,BIKE20,05:23:24.379
Jon Saeveras Breivold,BIKE20,05:23:45.379
Patrick Lange,BIKE20,05:24:36.379
Joe Skipper,BIKE20,05:24:47.379
Filipe Azevedo,BIKE20,05:24:48.379
Fernando Toldi,BIKE20,05:24:50.379
Dominik Sowieja,BIKE20,05:26:17.379
Kristian Grue,BIKE20,05:26:35.379
Benjamin Zorgnotti,BIKE20,05:29:25.379
Chris Leiferman,BIKE20,05:32:54.379
Andre Lopes,BIKE20,05:33:26.379
Dario Giovine,BIKE20,05:33:27.379
Daniel Bækkegård,BIKE20,05:36:09.379
Andrea Salvisberg,BIKE20,05:36:15.379
Bart Aernouts,BIKE20,05:37:51.379
Mattia Ceccarelli,BIKE20,05:39:04.379
Jack Moody,BIKE20,05:43:14.379
Matt Hanson,BIKE20,05:45:42.379
Zachary Cooper,BIKE20,11:36:27.379
Marten Van Riel,BIKE,05:19:17.882
Sam Laidlow,BIKE,05:19:24.202
Nick Thompson,BIKE,05:19:24.609
Kristian Blummenfelt,BIKE,05:19:37.698
Gustav Iden,BIKE,05:19:38.894
Casper Stornes,BIKE,05:19:41.03
Magnus Ditlev,BIKE,05:24:37.659
Jamie Riddle,BIKE,05:24:43.167
Jonas Schomburg,BIKE,05:27:40.292
Matthew Marquardt,BIKE,05:28:10.39
Rudy Von Berg,BIKE,05:30:45.183
Kristian Høgenhaug,BIKE,05:31:28.441
Federico Scarabino,BIKE,05:31:33.581
Antonio Benito,BIKE,05:31:41.82
Nathan Guerbeur,BIKE,05:31:54.566
Cameron Wurf,BIKE,05:32:54.058
Jan Stratmann,BIKE,05:33:47.163
Paul Schuster,BIKE,05:34:58.241
Sam Long,BIKE,05:35:48.999
Leon Chevalier,BIKE,05:35:52.788
Finn Große-Freese,BIKE,05:37:11.265
Wilhelm Hirsch,BIKE,05:37:11.366
Kacper Stepniak,BIKE,05:37:41.21
Sven Thalmann,BIKE,05:37:47.804
Mathias Lyngsø Petersen,BIKE,05:37:47.925
Dylan Magnien,BIKE,05:38:02.425
Jonas Hoffmann,BIKE,05:38:06.288
Henrik Goesch,BIKE,05:38:56.718
Jordi Montraveta Moya,BIKE,05:38:57.812
Jon Saeveras Breivold,BIKE,05:38:57.902
Harry Palmer,BIKE,05:39:01.632
Luciano Taccone,BIKE,05:39:12.87
Patrick Lange,BIKE,05:40:02.253
Fernando Toldi,BIKE,05:40:51.788
Joe Skipper,BIKE,05:40:57.917
Filipe Azevedo,BIKE,05:41:06.706
Dominik Sowieja,BIKE,05:42:11.073
Kristian Grue,BIKE,05:42:19.351
Benjamin Zorgnotti,BIKE,05:44:42.191
Chris Leiferman,BIKE,05:49:07.437
Dario Giovine,BIKE,05:49:42.234
Andre Lopes,BIKE,05:49:52.909
Daniel Bækkegård,BIKE,05:52:46.80
Bart Aernouts,BIKE,05:52:52.597
Andrea Salvisberg,BIKE,05:52:58.308
Mattia Ceccarelli,BIKE,05:56:40.734
Jack Moody,BIKE,06:00:05.917
Matt Hanson,BIKE,06:02:07.097
Marten Van Riel,T2,05:21:31.486
Sam Laidlow,T2,05:21:31.943
Gustav Iden,T2,05:21:58.033
Kristian Blummenfelt,T2,05:21:58.205
Nick Thompson,T2,05:22:11.201
Casper Stornes,T2,05:22:13.795
Jamie Riddle,T2,05:27:24.928
Magnus Ditlev,T2,05:27:32.416
Jonas Schomburg,T2,05:30:15.178
Matthew Marquardt,T2,05:31:09.146
Rudy Von Berg,T2,05:33:16.818
Kristian Høgenhaug,T2,05:34:00.029
Antonio Benito,T2,05:34:21.084
Federico Scarabino,T2,05:34:21.701
Nathan Guerbeur,T2,05:34:22.596
Cameron Wurf,T2,05:35:07.689
Jan Stratmann,T2,05:36:10.139
Paul Schuster,T2,05:37:31.326
Sam Long,T2,05:38:05.295
Leon Chevalier,T2,05:38:10.478
Wilhelm Hirsch,T2,05:39:44.693
