name,split,netTime
Andre Lopes,BIKE1,01:02:16.379
Gustav Iden,BIKE1,01:02:32.379
Nathan Guerbeur,BIKE1,01:02:36.379
Benjamin Zorgnotti,BIKE1,01:02:37.379
Jonas Hoffmann,BIKE1,01:02:47.379
Filipe Azevedo,BIKE1,01:02:49.379
Patrick Lange,BIKE1,01:02:54.379
Harry Palmer,BIKE1,01:02:55.379
Fernando Toldi,BIKE1,01:02:57.379
Kristian Høgenhaug,BIKE1,01:03:00.379
Sam Laidlow,BIKE1,01:03:39.379
Henrik Goesch,BIKE1,01:03:40.379
Daniel Bækkegård,BIKE1,01:03:48.379
Matthew Marquardt,BIKE1,01:06:47.379
Bradley Weiss,BIKE1,01:06:52.379
Cameron Wurf,BIKE1,01:07:43.379
Leon Chevalier,BIKE1,01:07:43.379
Joe Skipper,BIKE1,01:07:45.379
Ben Hill,BIKE1,01:07:46.379
Dominik Sowieja,BIKE1,01:07:48.379
Kristian Grue,BIKE1,01:07:49.379
Luciano Taccone,BIKE1,01:07:50.379
Jordi Montraveta Moya,BIKE1,01:07:50.379
Sam Long,BIKE1,01:07:51.379
Chris Leiferman,BIKE1,01:07:53.379
Dario Giovine,BIKE1,01:07:58.379
Jack Moody,BIKE1,01:08:00.379
Matt Hanson,BIKE1,01:08:07.379
Bart Aernouts,BIKE1,01:13:02.379
Jon Saeveras Breivold,BIKE1,01:13:03.379
Zachary Cooper,BIKE1,01:14:48.379
Marten Van Riel,BIKE2,01:29:21.379
Jamie Riddle,BIKE2,01:29:25.379
Jonas Schomburg,BIKE2,01:29:26.379
Andrea Salvisberg,BIKE2,01:30:52.379
Jan Stratmann,BIKE2,01:31:09.379
Sven Thalmann,BIKE2,01:31:10.379
Kristian Blummenfelt,BIKE2,01:31:22.379
Nick Thompson,BIKE2,01:31:24.379
Kieran Lindars,BIKE2,01:31:30.379
Antonio Benito,BIKE2,01:31:31.379
Mattia Ceccarelli,BIKE2,01:31:36.379
Rudy Von Berg,BIKE2,01:31:37.379
Wilhelm Hirsch,BIKE2,01:31:37.379
Gustav Iden,BIKE2,01:31:38.379
Magnus Ditlev,BIKE2,01:31:39.379
Casper Stornes,BIKE2,01:31:43.379
Federico Scarabino,BIKE2,01:31:44.379
Finn Große-Freese,BIKE2,01:31:46.379
Nathan Guerbeur,BIKE2,01:31:49.379
Sam Laidlow,BIKE2,01:32:16.379
Paul Schuster,BIKE2,01:32:18.379
Jason West,BIKE2,01:32:21.379
Kacper Stepniak,BIKE2,01:32:27.379
Mathias Lyngsø Petersen,BIKE2,01:32:29.379
Kristian Høgenhaug,BIKE2,01:32:29.379
Jonas Hoffmann,BIKE2,01:32:33.379
Dylan Magnien,BIKE2,01:32:34.379
Benjamin Zorgnotti,BIKE2,01:33:28.379
Daniel Bækkegård,BIKE2,01:34:05.379
Andre Lopes,BIKE2,01:34:07.379
Fernando Toldi,BIKE2,01:34:09.379
Harry Palmer,BIKE2,01:34:25.379
Patrick Lange,BIKE2,01:34:31.379
Filipe Azevedo,BIKE2,01:34:34.379
Henrik Goesch,BIKE2,01:35:27.379
Matthew Marquardt,BIKE2,01:37:12.379
Cameron Wurf,BIKE2,01:37:14.379
Leon Chevalier,BIKE2,01:37:18.379
Bradley Weiss,BIKE2,01:37:19.379
Luciano Taccone,BIKE2,01:37:21.379
Joe Skipper,BIKE2,01:37:22.379
Sam Long,BIKE2,01:37:24.379
Ben Hill,BIKE2,01:37:25.379
Jordi Montraveta Moya,BIKE2,01:37:26.379
Dominik Sowieja,BIKE2,01:38:00.379
Kristian Grue,BIKE2,01:38:06.379
Chris Leiferman,BIKE2,01:39:24.379
Dario Giovine,BIKE2,01:39:26.379
Jack Moody,BIKE2,01:40:44.379
Matt Hanson,BIKE2,01:40:46.379
Jon Saeveras Breivold,BIKE2,01:43:29.379
Bart Aernouts,BIKE2,01:43:42.379
Zachary Cooper,BIKE2,01:46:07.379
Marten Van Riel,BIKE3,01:46:56.379
Jamie Riddle,BIKE3,01:47:06.379
Jonas Schomburg,BIKE3,01:47:08.379
Nick Thompson,BIKE3,01:48:43.379
Kristian Blummenfelt,BIKE3,01:48:44.379
Andrea Salvisberg,BIKE3,01:48:46.379
Jan Stratmann,BIKE3,01:48:48.379
Sven Thalmann,BIKE3,01:48:51.379
Rudy Von Berg,BIKE3,01:48:52.379
Gustav Iden,BIKE3,01:48:53.379
Antonio Benito,BIKE3,01:48:55.379
Magnus Ditlev,BIKE3,01:48:56.379
Federico Scarabino,BIKE3,01:48:56.379
Nathan Guerbeur,BIKE3,01:48:58.379
Casper Stornes,BIKE3,01:48:59.379
Wilhelm Hirsch,BIKE3,01:49:02.379
Sam Laidlow,BIKE3,01:49:13.379
Finn Große-Freese,BIKE3,01:49:26.379
Paul Schuster,BIKE3,01:49:28.379
Kieran Lindars,BIKE3,01:49:30.379
Mattia Ceccarelli,BIKE3,01:49:46.379
Kristian Høgenhaug,BIKE3,01:49:54.379
Mathias Lyngsø Petersen,BIKE3,01:50:49.379
Jason West,BIKE3,01:50:52.379
Jonas Hoffmann,BIKE3,01:50:52.379
Kacper Stepniak,BIKE3,01:50:54.379
Dylan Magnien,BIKE3,01:50:56.379
Harry Palmer,BIKE3,01:52:34.379
Benjamin Zorgnotti,BIKE3,01:52:39.379
Fernando Toldi,BIKE3,01:52:39.379
Daniel Bækkegård,BIKE3,01:52:39.379
Andre Lopes,BIKE3,01:52:42.379
Patrick Lange,BIKE3,01:53:12.379
Filipe Azevedo,BIKE3,01:53:14.379
Henrik Goesch,BIKE3,01:54:37.379
Matthew Marquardt,BIKE3,01:54:43.379
Cameron Wurf,BIKE3,01:54:43.379
Ben Hill,BIKE3,01:54:45.379
Joe Skipper,BIKE3,01:54:46.379
Jordi Montraveta Moya,BIKE3,01:54:55.379
Leon Chevalier,BIKE3,01:54:57.379
Sam Long,BIKE3,01:54:58.379
Bradley Weiss,BIKE3,01:54:59.379
Luciano Taccone,BIKE3,01:55:00.379
Dominik Sowieja,BIKE3,01:56:19.379
Kristian Grue,BIKE3,01:56:30.379
Chris Leiferman,BIKE3,01:57:50.379
Dario Giovine,BIKE3,01:58:03.379
Jack Moody,BIKE3,01:59:57.379
Matt Hanson,BIKE3,02:00:23.379
Jon Saeveras Breivold,BIKE3,02:01:19.379
Bart Aernouts,BIKE3,02:01:44.379
Zachary Cooper,BIKE3,02:04:29.379
Jonas Schomburg,BIKE4,02:00:33.379
Marten Van Riel,BIKE4,02:00:34.379
Jamie Riddle,BIKE4,02:00:35.379
Sam Laidlow,BIKE4,02:02:17.379
Casper Stornes,BIKE4,02:02:21.379
Kristian Blummenfelt,BIKE4,02:02:23.379
Sven Thalmann,BIKE4,02:02:28.379
Magnus Ditlev,BIKE4,02:02:40.379
Gustav Iden,BIKE4,02:02:40.379
Nick Thompson,BIKE4,02:02:43.379
Federico Scarabino,BIKE4,02:02:45.379
Nathan Guerbeur,BIKE4,02:02:48.379
Rudy Von Berg,BIKE4,02:02:54.379
Antonio Benito,BIKE4,02:02:55.379
Jan Stratmann,BIKE4,02:02:59.379
Andrea Salvisberg,BIKE4,02:03:16.379
Paul Schuster,BIKE4,02:03:26.379
Wilhelm Hirsch,BIKE4,02:04:01.379
Kieran Lindars,BIKE4,02:04:18.379
Mattia Ceccarelli,BIKE4,02:04:38.379
Kristian Høgenhaug,BIKE4,02:04:38.379
Finn Große-Freese,BIKE4,02:05:14.379
Jason West,BIKE4,02:05:43.379
Jonas Hoffmann,BIKE4,02:05:45.379
Kacper Stepniak,BIKE4,02:05:59.379
Mathias Lyngsø Petersen,BIKE4,02:06:01.379
Dylan Magnien,BIKE4,02:06:04.379
Harry Palmer,BIKE4,02:08:05.379
Daniel Bækkegård,BIKE4,02:08:09.379
Filipe Azevedo,BIKE4,02:08:10.379
Benjamin Zorgnotti,BIKE4,02:08:12.379
Fernando Toldi,BIKE4,02:08:14.379
Andre Lopes,BIKE4,02:08:18.379
Patrick Lange,BIKE4,02:08:24.379
Luciano Taccone,BIKE4,02:08:45.379
Cameron Wurf,BIKE4,02:08:46.379
Matthew Marquardt,BIKE4,02:08:50.379
Leon Chevalier,BIKE4,02:08:57.379
Bradley Weiss,BIKE4,02:09:00.379
Ben Hill,BIKE4,02:09:00.379
Henrik Goesch,BIKE4,02:09:03.379
Joe Skipper,BIKE4,02:09:07.379
Sam Long,BIKE4,02:09:10.379
Jordi Montraveta Moya,BIKE4,02:09:13.379
Dominik Sowieja,BIKE4,02:11:18.379
Kristian Grue,BIKE4,02:11:29.379
Dario Giovine,BIKE4,02:13:27.379
Chris Leiferman,BIKE4,02:13:28.379
Jon Saeveras Breivold,BIKE4,02:15:31.379
Jack Moody,BIKE4,02:15:56.379
Matt Hanson,BIKE4,02:16:25.379
Bart Aernouts,BIKE4,02:16:52.379
Zachary Cooper,BIKE4,02:19:09.379
Jonas Schomburg,BIKE5,02:15:36.379
Jamie Riddle,BIKE5,02:15:38.379
Marten Van Riel,BIKE5,02:15:38.379
Sam Laidlow,BIKE5,02:17:15.379
Casper Stornes,BIKE5,02:17:17.379
Kristian Blummenfelt,BIKE5,02:17:19.379
Magnus Ditlev,BIKE5,02:17:20.379
Gustav Iden,BIKE5,02:17:23.379
Nick Thompson,BIKE5,02:17:26.379
Sven Thalmann,BIKE5,02:17:31.379
Antonio Benito,BIKE5,02:18:07.379
Rudy Von Berg,BIKE5,02:18:09.379
Nathan Guerbeur,BIKE5,02:18:12.379
Federico Scarabino,BIKE5,02:18:12.379
Jan Stratmann,BIKE5,02:18:38.379
Paul Schuster,BIKE5,02:19:16.379
Andrea Salvisberg,BIKE5,02:19:50.379
Wilhelm Hirsch,BIKE5,02:20:37.379
Mattia Ceccarelli,BIKE5,02:20:49.379
Kristian Høgenhaug,BIKE5,02:20:52.379
Kieran Lindars,BIKE5,02:21:02.379
Jason West,BIKE5,02:22:05.379
Jonas Hoffmann,BIKE5,02:22:11.379
Mathias Lyngsø Petersen,BIKE5,02:22:13.379
Dylan Magnien,BIKE5,02:22:14.379
Kacper Stepniak,BIKE5,02:22:15.379
Finn Große-Freese,BIKE5,02:22:15.379
Cameron Wurf,BIKE5,02:23:55.379
Matthew Marquardt,BIKE5,02:24:01.379
Luciano Taccone,BIKE5,02:24:02.379
Bradley Weiss,BIKE5,02:24:02.379
Sam Long,BIKE5,02:24:24.379
Leon Chevalier,BIKE5,02:24:28.379
Ben Hill,BIKE5,02:24:31.379
Filipe Azevedo,BIKE5,02:24:33.379
Harry Palmer,BIKE5,02:24:37.379
Benjamin Zorgnotti,BIKE5,02:24:37.379
Fernando Toldi,BIKE5,02:24:39.379
Daniel Bækkegård,BIKE5,02:24:39.379
Andre Lopes,BIKE5,02:24:43.379
Joe Skipper,BIKE5,02:24:55.379
Jordi Montraveta Moya,BIKE5,02:24:56.379
Patrick Lange,BIKE5,02:24:59.379
Henrik Goesch,BIKE5,02:25:02.379
Dominik Sowieja,BIKE5,02:27:33.379
Kristian Grue,BIKE5,02:27:59.379
Chris Leiferman,BIKE5,02:30:11.379
Dario Giovine,BIKE5,02:30:12.379
Jon Saeveras Breivold,BIKE5,02:31:02.379
Jack Moody,BIKE5,02:32:57.379
Bart Aernouts,BIKE5,02:33:22.379
Matt Hanson,BIKE5,02:34:12.379
Zachary Cooper,BIKE5,02:35:31.379
Marten Van Riel,BIKE6,02:35:12.379
Jonas Schomburg,BIKE6,02:35:14.379
Jamie Riddle,BIKE6,02:35:16.379
Sam Laidlow,BIKE6,02:36:24.379
Casper Stornes,BIKE6,02:36:26.379
Kristian Blummenfelt,BIKE6,02:36:30.379
Gustav Iden,BIKE6,02:36:32.379
Nick Thompson,BIKE6,02:36:33.379
Magnus Ditlev,BIKE6,02:36:40.379
Filipe Azevedo,BIKE6,02:38:10.379
Daniel Bækkegård,BIKE6,02:38:16.379
Antonio Benito,BIKE6,02:38:39.379
Rudy Von Berg,BIKE6,02:38:40.379
Sven Thalmann,BIKE6,02:38:43.379
Nathan Guerbeur,BIKE6,02:39:52.379
Federico Scarabino,BIKE6,02:39:54.379
Paul Schuster,BIKE6,02:40:22.379
Jan Stratmann,BIKE6,02:40:22.379
Kristian Høgenhaug,BIKE6,02:41:48.379
Mattia Ceccarelli,BIKE6,02:41:51.379
Andrea Salvisberg,BIKE6,02:42:09.379
Wilhelm Hirsch,BIKE6,02:42:11.379
Mathias Lyngsø Petersen,BIKE6,02:43:29.379
Jason West,BIKE6,02:43:30.379
Jonas Hoffmann,BIKE6,02:43:30.379
Kacper Stepniak,BIKE6,02:43:34.379
Dylan Magnien,BIKE6,02:43:36.379
Matthew Marquardt,BIKE6,02:44:17.379
Cameron Wurf,BIKE6,02:44:18.379
Luciano Taccone,BIKE6,02:44:21.379
Leon Chevalier,BIKE6,02:45:09.379
Sam Long,BIKE6,02:45:11.379
Ben Hill,BIKE6,02:45:12.379
Bradley Weiss,BIKE6,02:45:14.379
Kieran Lindars,BIKE6,02:45:15.379
Finn Große-Freese,BIKE6,02:45:15.379
Jordi Montraveta Moya,BIKE6,02:46:27.379
Fernando Toldi,BIKE6,02:46:29.379
Joe Skipper,BIKE6,02:46:32.379
Harry Palmer,BIKE6,02:46:35.379
Henrik Goesch,BIKE6,02:46:36.379
Patrick Lange,BIKE6,02:46:38.379
Benjamin Zorgnotti,BIKE6,02:46:41.379
Andre Lopes,BIKE6,02:46:45.379
Dominik Sowieja,BIKE6,02:48:55.379
Kristian Grue,BIKE6,02:49:45.379
Jon Saeveras Breivold,BIKE6,02:51:08.379
Dario Giovine,BIKE6,02:51:59.379
Chris Leiferman,BIKE6,02:52:13.379
Bart Aernouts,BIKE6,02:55:33.379
Jack Moody,BIKE6,02:55:42.379
Zachary Cooper,BIKE6,02:57:20.379
Matt Hanson,BIKE6,02:57:23.379
Marten Van Riel,BIKE7,02:45:12.379
Jamie Riddle,BIKE7,02:45:15.379
Jonas Schomburg,BIKE7,02:45:16.379
Casper Stornes,BIKE7,02:46:17.379
Nick Thompson,BIKE7,02:46:19.379
Sam Laidlow,BIKE7,02:46:20.379
Kristian Blummenfelt,BIKE7,02:46:23.379
Gustav Iden,BIKE7,02:46:25.379
Magnus Ditlev,BIKE7,02:46:27.379
Antonio Benito,BIKE7,02:49:07.379
Rudy Von Berg,BIKE7,02:49:09.379
Sven Thalmann,BIKE7,02:49:45.379
Paul Schuster,BIKE7,02:50:42.379
Jan Stratmann,BIKE7,02:50:44.379
Federico Scarabino,BIKE7,02:50:45.379
Nathan Guerbeur,BIKE7,02:50:51.379
