name,split,netTime,place,leaderDiff
Matthew Marquardt,RUN22,07:56:35.275,15,+22:49.29
Jonas Hoffmann,RUN22,07:57:25.61,16,+23:39.63
Mike Phillips,RUN22,07:58:54.417,17,+25:08.43
Sam Laidlow,RUN22,07:59:33.025,18,+25:47.04
Paul Schuster,RUN22,07:59:55.071,19,+26:09.09
Antonio Benito López,RUN22,08:00:39.184,20,+26:53.20
Nick Thompson,RUN22,08:02:50.191,21,+29:04.21
Tristan Olij,RUN22,08:04:12.68,22,+30:26.70
Robert Kallin,RUN22,08:05:02.676,23,+31:16.69
Sam Appleton,RUN22,08:05:38.817,24,+31:52.83
Ben Hamilton,RUN22,08:07:06.913,25,+33:20.93
Stenn Goetstouwers,RUN22,08:08:26.795,26,+34:40.81
Dylan Magnien,RUN22,08:09:52.59,27,+36:06.61
Braden Currie,RUN22,08:10:17.744,28,+36:31.76
Finn Große-Freese,RUN22,08:12:36.473,29,+38:50.49
Michael Weiss,RUN22,08:13:42.61,30,+39:56.63
Ben Kanute,RUN22,08:16:36.073,31,+42:50.09
Lionel Sanders,RUN22,08:19:21.02,32,+45:35.04
Rasmus Svenningsson,RUN22,08:25:05.163,33,+51:19.18
Daniel Bækkegård,RUN22,08:25:40.073,34,+51:54.09
Kristian Blummenfelt,RUN22,08:27:23.872,35,+53:37.89
Tomasz Szala,RUN22,08:38:40.655,36,+01:04:54.67
Jason Pohl,RUN22,08:44:14.455,37,+01:10:28.47
Jackson Laundry,RUN22,08:45:52.97,38,+01:12:06.99
Andre Lopes,RUN22,08:53:16.48,39,+01:19:30.50
Thor Bendix Madsen,RUN22,09:09:23.473,40,+01:35:37.49
Igor Amorelli,RUN22,09:18:38.336,41,+01:44:52.35
Steven McKenna,RUN22,09:30:56.046,42,+01:57:10.06
Patrick Lange,FINISH,07:35:52.555,1,
Magnus Ditlev,FINISH,07:43:38.16,2,+07:45.61
Rudy Von Berg,FINISH,07:45:59.026,3,+10:06.47
Leon Chevalier,FINISH,07:46:53.352,4,+11:00.80
Menno Koolhaas,FINISH,07:47:21.056,5,+11:28.50
Gregory Barnaby,FINISH,07:48:21.962,6,+12:29.41
Cameron Wurf,FINISH,07:51:25.785,7,+15:33.23
Kieran Lindars,FINISH,07:51:54.072,8,+16:01.52
Kristian Høgenhaug,FINISH,07:53:36.973,9,+17:44.42
Matt Hanson,FINISH,07:54:49.609,10,+18:57.05
Bradley Weiss,FINISH,07:55:36.417,11,+19:43.86
Mathias Petersen,FINISH,07:56:49.11,12,+20:56.56
David McNamee,FINISH,07:57:47.743,13,+21:55.19
Kacper Stepniak,FINISH,07:58:07.211,14,+22:14.66
Matthew Marquardt,FINISH,07:58:42.861,15,+22:50.31
Jonas Hoffmann,FINISH,07:59:30.50,16,+23:37.95
Mike Phillips,FINISH,08:01:10.815,17,+25:18.26
Sam Laidlow,FINISH,08:02:00.951,18,+26:08.40
Paul Schuster,FINISH,08:02:05.813,19,+26:13.26
Antonio Benito López,FINISH,08:03:05.895,20,+27:13.34
Nick Thompson,FINISH,08:05:03.812,21,+29:11.26
Tristan Olij,FINISH,08:06:40.492,22,+30:47.94
Robert Kallin,FINISH,08:07:24.138,23,+31:31.58
Sam Appleton,FINISH,08:08:04.834,24,+32:12.28
Ben Hamilton,FINISH,08:09:34.642,25,+33:42.09
Stenn Goetstouwers,FINISH,08:11:00.99,26,+35:08.44
Dylan Magnien,FINISH,08:11:56.214,27,+36:03.66
Braden Currie,FINISH,08:12:32.749,28,+36:40.19
Finn Große-Freese,FINISH,08:14:47.963,29,+38:55.41
Michael Weiss,FINISH,08:16:07.754,30,+40:15.20
Ben Kanute,FINISH,08:19:07.49,31,+43:14.94
Lionel Sanders,FINISH,08:22:05.105,32,+46:12.55
Rasmus Svenningsson,FINISH,08:27:07.323,33,+51:14.77
Daniel Bækkegård,FINISH,08:28:23.756,34,+52:31.20
Kristian Blummenfelt,FINISH,08:29:57.815,35,+54:05.26
Tomasz Szala,FINISH,08:41:22.118,36,+01:05:29.56
Jason Pohl,FINISH,08:46:58.416,37,+01:11:05.86
Jackson Laundry,FINISH,08:48:25.907,38,+01:12:33.35
Andre Lopes,FINISH,08:55:37.944,39,+01:19:45.39
Thor Bendix Madsen,FINISH,09:12:52.303,40,+01:36:59.75
Igor Amorelli,FINISH,09:21:49.605,41,+01:45:57.05
Steven McKenna,FINISH,09:35:12.315,42,+01:59:19.76
